customer_id,product_id,rating
83,31,2
73,38,3
2,18,1
100,39,3
47,16,1
56,2,1
11,16,5
75,42,1
25,23,2
96,46,2
44,18,1
92,45,5
14,23,3
79,14,5
56,48,5
6,3,3
24,12,2
43,10,4
50,41,5
76,48,2
57,5,1
44,11,5
25,50,5
82,7,1
22,45,4
95,9,4
19,9,3
64,9,1
90,45,2
30,38,2
38,19,4
50,3,3
41,6,3
96,30,2
12,38,3
57,37,4
64,43,4
15,30,3
33,28,4
66,18,4
66,12,3
37,50,4
26,9,1
77,25,4
73,4,5
51,49,2
13,12,1
25,16,3
20,4,2
68,37,5
11,40,2
8,22,4
53,30,2
93,4,3
15,12,4
73,16,4
47,46,5
100,27,2
36,16,5
82,34,4
24,12,4
62,6,5
54,31,4
13,5,2
46,33,1
8,38,5
48,44,3
40,46,1
95,30,3
20,28,4
51,40,1
66,28,4
44,30,4
83,9,5
79,12,3
90,34,2
57,15,5
73,39,5
51,12,3
35,11,5
91,26,3
12,33,5
12,41,1
37,7,3
50,31,2
77,23,5
82,12,1
96,36,2
75,21,5
49,5,5
75,5,4
12,50,5
94,30,2
35,28,2
75,48,1
77,20,4
40,41,1
11,27,1
3,27,5
76,10,1
47,32,3
52,31,4
42,18,5
92,8,3
4,36,2
17,10,4
64,29,2
65,48,2
14,49,5
39,8,3
5,4,4
4,8,5
20,9,1
82,38,4
17,6,5
72,34,4
25,29,4
12,47,5
23,39,2
61,50,2
92,9,5
3,2,4
9,3,2
73,17,3
90,3,1
39,12,1
53,32,3
98,11,3
89,21,3
64,37,4
22,15,2
5,8,3
32,30,5
76,6,1
38,15,1
8,47,3
23,16,2
43,33,3
60,24,5
96,28,3
55,7,4
74,10,3
52,2,4
83,12,2
24,24,2
84,7,5
26,41,2
58,37,4
70,13,2
90,36,4
46,6,5
89,13,4
52,19,3
60,1,2
45,2,1
27,21,3
44,14,4
33,27,3
31,49,3
15,44,3
72,22,3
97,15,4
62,14,2
2,41,2
48,4,3
44,42,1
91,18,2
16,6,4
69,27,4
75,28,2
86,44,4
40,46,4
95,42,5
87,14,4
1,46,2
82,49,2
59,18,1
13,23,3
92,32,2
44,26,4
55,29,1
48,14,5
23,8,1
32,27,4
35,18,2
99,5,1
43,44,4
69,48,5
63,31,1
37,29,4
84,9,3
45,28,2
82,7,4
71,8,3
7,27,2
49,12,2
10,38,2
29,30,3
78,50,1
57,21,3
10,30,3
86,29,4
67,24,4
10,10,5
37,1,3
29,39,3
65,20,5
75,8,3
14,39,3
3,4,5
38,31,5
72,38,5
88,42,2
95,6,4
82,17,5
4,27,2
99,32,4
81,7,5
83,26,3
51,12,3
62,18,4
83,32,1
29,32,4
36,21,2
54,27,3
27,40,3
43,11,5
47,39,2
70,5,1
29,40,2
44,16,2
84,14,2
63,36,2
75,39,1
75,12,2
10,40,1
92,12,4
100,49,2
76,37,5
97,19,1
39,12,1
32,35,2
23,17,5
92,29,5
58,10,2
22,38,5
98,9,1
62,18,2
42,49,2
100,45,2
42,29,4
24,26,2
53,31,3
24,38,3
73,31,1
42,19,4
61,13,4
48,2,5
16,28,2
37,11,3
66,4,4
95,17,3
43,28,3
1,7,2
84,1,3
7,8,1
94,26,1
68,4,4
32,37,4
30,45,5
17,22,3
68,50,4
27,9,2
7,48,4
12,39,1
82,43,3
56,34,1
44,37,4
68,5,4
21,28,1
92,14,5
93,14,5
15,42,4
15,9,5
81,7,1
100,31,3
64,13,4
44,35,2
28,4,5
88,41,5
21,17,2
24,6,2
35,41,1
33,30,1
66,23,5
23,38,3
22,24,1
58,37,1
69,44,4
46,35,4
40,7,1
25,7,3
87,25,5
18,13,2
53,18,1
91,32,3
9,49,3
6,38,3
98,1,1
87,11,1
83,50,3
11,45,3
63,5,1
30,32,5
12,11,1
31,30,4
72,34,3
59,42,5
95,49,2
43,14,1
86,20,3
72,42,1
26,13,2
55,45,1
84,44,5
26,17,2
46,38,4
4,15,4
85,37,3
84,5,4
38,48,1
34,1,5
61,50,4
90,38,3
8,12,1
61,45,3
38,6,3
85,41,5
99,47,5
17,17,3
46,17,3
40,11,4
34,6,4
98,24,2
66,48,5
74,4,4
88,39,3
69,49,4
25,19,2
7,31,4
98,17,3
61,32,4
89,43,4
62,48,5
60,22,5
75,34,2
30,11,2
29,45,4
25,32,5
4,20,5
83,3,4
22,20,5
7,32,1
85,20,3
22,40,1
28,40,1
27,34,1
90,45,5
65,45,4
4,31,2
54,40,3
38,13,3
8,17,1
81,17,2
76,7,4
12,5,2
3,46,2
55,21,3
6,31,5
18,13,1
79,34,5
6,27,3
79,19,2
82,7,1
31,3,4
99,27,4
4,47,2
1,26,5
94,14,5
45,28,1
45,38,3
62,46,5
1,22,4
18,44,4
30,6,4
92,50,5
35,26,2
60,13,5
22,7,5
64,48,1
