product_id,product_name,price,category
1,Ektorp Sofa,694,Sofas & Armchairs
2,Poäng Armchair,569,Sofas & Armchairs
3,Klippan Loveseat,639,Sofas & Armchairs
4,Malm Bed Frame,202,Beds
5,Hemnes Daybed,845,Beds
6,Brimnes Bed Storage,773,Beds
7,Lack Side Table,717,Tables & Desks
8,Melltorp Dining Table,369,Tables & Desks
9,Micke Desk,19,Tables & Desks
10,Kallax Shelving Unit,733,Storage Solutions
11,Billy Bookcase,287,Storage Solutions
12,Raskog Trolley,764,Storage Solutions
13,Terje Folding Chair,814,Chairs
14,Ingolf Bar Stool,609,Chairs
15,Bernhard Chair,80,Chairs
16,Ranarp Lamp,482,Lighting
17,Sinnerlig Pendant Lamp,610,Lighting
18,Skurup Ceiling Lamp,406,Lighting
19,Ribba Frame,324,Decor
20,Pjatteryd Picture,715,Decor
21,Stockholm Mirror,496,Decor
22,Nordli Chest Drawers,561,Decor
23,Stuva Loft Bed,97,Beds
24,Askvoll Wardrobe,184,Storage Solutions
25,Rens Sheepskin Rug,610,Decor
26,Docksta Table,859,Tables & Desks
27,Ivar Cabinet,687,Storage Solutions
28,Tarva Nightstand,547,Decor
29,Råskog Stool,855,Chairs
30,Strandmon Wing Chair,82,Chairs
31,Nockeby Sofa,787,Sofas & Armchairs
32,Kivik Chaise,926,Sofas & Armchairs
33,Lerhamn Chair,125,Chairs
34,Fjälla Storage Box,986,Storage Solutions
35,Rugveda Coffee Table,765,Tables & Desks
36,Gronlid Armchair,719,Decor
37,Fredde Desk,857,Tables & Desks
38,Bekant Conference Table,441,Tables & Desks
39,Mackapar Shoe Storage,458,Storage Solutions
40,Lommarp Bookcase,860,Storage Solutions
41,Tingby Side Table,109,Tables & Desks
42,Småstad Wardrobe,994,Storage Solutions
43,Sjöpenna Floor Lamp,187,Lighting
44,Koppang Dresser,765,Decor
45,Hektar Work Lamp,807,Lighting
46,Valje Wall Cabinet,669,Storage Solutions
47,Nymö Lamp Shade,157,Lighting
48,Bestå TV Bench,920,Decor
49,Söderhamn Sofa Section,433,Sofas & Armchairs
50,Mörbylånga Table,298,Tables & Desks
